estimated_owners,price_usd,is_free,approval_ratio,reviews_total,language_count,category_count,release_year
15000000.0,9.99,0.0,0.9743,241610.0,1.0,6,2000.0
7500000.0,4.99,0.0,0.8699,8409.0,1.0,7,1999.0
7500000.0,4.99,0.0,0.9029,6921.0,1.0,3,2003.0
7500000.0,4.99,0.0,0.8291,3066.0,1.0,7,2001.0
3500000.0,4.99,0.0,0.9525,23374.0,1.0,5,1999.0
7500000.0,4.99,0.0,0.8255,5804.0,1.0,5,2000.0
15000000.0,9.99,0.0,0.9653,134016.0,1.0,11,1998.0
7500000.0,9.99,0.0,0.9131,25536.0,1.0,4,2004.0
1500000.0,4.99,0.0,0.9226,17189.0,1.0,3,2001.0
10000.0,0.0,1.0,0.9296,142.0,1.0,2,2004.0
3500000.0,9.99,0.0,0.9759,201004.0,1.0,11,2004.0
3500000.0,9.99,0.0,0.9629,175230.0,1.0,8,2004.0
750000.0,9.99,0.0,0.694,15578.0,1.0,3,2004.0
7500000.0,9.99,0.0,0.9166,22114.0,1.0,8,2010.0
750000.0,4.99,0.0,0.9082,13160.0,1.0,4,2004.0
15000000.0,9.99,0.0,0.9846,166265.0,1.0,11,2007.0
10000.0,0.0,1.0,0.9626,214.0,17.0,4,2008.0
7500000.0,7.99,0.0,0.9707,41662.0,1.0,10,2007.0
75000000.0,0.0,1.0,0.8835,1121708.0,27.0,14,2007.0
7500000.0,9.99,0.0,0.9633,57875.0,1.0,15,2008.0
75000000.0,9.99,0.0,0.9751,892381.0,1.0,22,2009.0
15000000.0,9.99,0.0,0.9869,409076.0,1.0,20,2011.0
3500000.0,0.0,1.0,0.9484,21108.0,1.0,9,2010.0
35000.0,0.99,0.0,0.7544,114.0,1.0,3,2005.0
10000.0,0.0,1.0,0.0,2.0,1.0,2,2005.0
350000.0,4.99,0.0,0.8785,2396.0,1.0,4,2006.0
3500000.0,19.99,0.0,0.9527,65972.0,1.0,11,2009.0
150000.0,9.99,0.0,0.8951,1125.0,1.0,3,2006.0
10000.0,9.99,0.0,0.813,369.0,1.0,6,2020.0
150000.0,9.99,0.0,0.8011,1056.0,1.0,5,2005.0
10000.0,0.0,1.0,1.0,2.0,1.0,2,2005.0
750000.0,9.99,0.0,0.9109,2323.0,1.0,2,2006.0
350000.0,9.99,0.0,0.8712,4031.0,1.0,11,2006.0
10000.0,0.0,1.0,0.9032,62.0,1.0,3,2006.0
75000.0,9.99,0.0,0.8174,575.0,1.0,10,2008.0
10000.0,0.0,1.0,0.75,4.0,5.0,2,2008.0
150000.0,2.99,0.0,0.7845,362.0,1.0,3,2006.0
75000.0,9.99,0.0,0.8527,258.0,1.0,3,2006.0
75000.0,1.19,0.0,0.8696,1250.0,1.0,4,2006.0
75000.0,1.19,0.0,0.8292,1446.0,1.0,4,2006.0
350000.0,5.99,0.0,0.6237,287.0,1.0,3,2006.0
150000.0,14.99,0.0,0.7178,443.0,1.0,3,2006.0
350000.0,1.64,0.0,0.8755,2064.0,1.0,2,2007.0
10000.0,0.0,1.0,0.6667,3.0,1.0,2,2007.0
1500000.0,0.0,1.0,0.9296,38973.0,1.0,1,2012.0
350000.0,9.99,0.0,0.707,1365.0,1.0,6,2006.0
1500000.0,14.99,0.0,0.765,5481.0,1.0,10,2009.0
1500000.0,9.99,0.0,0.9116,10156.0,1.0,4,2006.0
10000.0,0.0,1.0,0.6,5.0,12.0,2,2006.0
750000.0,14.99,0.0,0.9579,3588.0,1.0,7,2007.0
350000.0,14.99,0.0,0.8757,3210.0,1.0,4,2011.0
750000.0,4.99,0.0,0.9353,3753.0,1.0,3,2007.0
3500000.0,9.99,0.0,0.9661,13825.0,1.0,14,2007.0
1500000.0,9.99,0.0,0.9534,8652.0,1.0,15,2007.0
350000.0,4.99,0.0,0.8688,701.0,1.0,3,2007.0
350000.0,4.99,0.0,0.7617,193.0,1.0,3,2007.0
150000.0,4.99,0.0,0.9389,1080.0,1.0,4,2007.0
1500000.0,9.99,0.0,0.858,5937.0,1.0,8,2006.0
350000.0,9.99,0.0,0.7121,931.0,8.0,2,2006.0
150000.0,4.99,0.0,0.7806,1053.0,1.0,4,2010.0
350000.0,1.04,0.0,0.8143,1540.0,1.0,6,2006.0
10000.0,0.0,1.0,0.3333,3.0,1.0,2,2006.0
75000.0,4.99,0.0,0.4961,129.0,1.0,2,2006.0
150000.0,4.99,0.0,0.6079,380.0,1.0,4,2007.0
350000.0,4.99,0.0,0.5489,1443.0,1.0,2,2007.0
350000.0,19.99,0.0,0.9183,1897.0,1.0,2,2006.0
750000.0,19.99,0.0,0.9464,6452.0,1.0,3,2006.0
7500000.0,19.99,0.0,0.935,9888.0,1.0,3,2006.0
350000.0,19.99,0.0,0.8706,1994.0,1.0,3,2006.0
750000.0,0.0,0.0,0.9167,5139.0,10.0,2,2008.0
150000.0,2.99,0.0,0.8964,550.0,1.0,3,2008.0
10000.0,4.99,0.0,0.7391,46.0,1.0,9,2007.0
10000.0,0.0,1.0,1.0,1.0,1.0,3,2007.0
350000.0,4.99,0.0,0.8228,474.0,1.0,4,2006.0
750000.0,9.99,0.0,0.7177,666.0,1.0,4,2006.0
750000.0,15.99,0.0,0.8545,2736.0,1.0,6,2008.0
350000.0,4.99,0.0,0.7465,355.0,1.0,3,2010.0
350000.0,4.99,0.0,0.7583,120.0,1.0,3,2010.0
750000.0,29.99,0.0,0.4343,7260.0,1.0,8,2013.0
35000.0,1.99,0.0,0.7927,193.0,1.0,3,2006.0
75000.0,9.99,0.0,0.8736,435.0,1.0,2,2006.0
75000.0,9.99,0.0,0.7302,126.0,1.0,5,2006.0
750000.0,1.99,0.0,0.9617,17330.0,1.0,10,2006.0
35000.0,4.99,0.0,0.8305,531.0,1.0,3,2006.0
750000.0,9.99,0.0,0.8026,3693.0,1.0,4,2007.0
35000.0,4.99,0.0,0.7717,381.0,1.0,3,2008.0
150000.0,4.99,0.0,0.8557,783.0,1.0,3,2009.0
350000.0,9.99,0.0,0.9099,1176.0,1.0,3,2009.0
10000.0,0.0,1.0,0.5,2.0,1.0,2,2009.0
10000.0,0.0,1.0,0.6667,3.0,0.0,2,2007.0
35000.0,4.99,0.0,0.2922,154.0,1.0,3,2007.0
150000.0,4.99,0.0,0.5867,600.0,1.0,2,2007.0
150000.0,0.99,0.0,0.7268,1047.0,1.0,3,2007.0
10000.0,0.0,1.0,1.0,2.0,1.0,3,2007.0
75000.0,4.99,0.0,0.9434,565.0,1.0,4,2006.0
150000.0,4.99,0.0,0.9385,1138.0,1.0,2,2006.0
750000.0,4.99,0.0,0.9681,5426.0,1.0,2,2006.0
750000.0,4.99,0.0,0.954,4626.0,1.0,2,2006.0
75000.0,4.99,0.0,0.7864,103.0,1.0,2,2006.0
75000.0,4.99,0.0,0.9035,228.0,1.0,4,2006.0
75000.0,4.99,0.0,0.9301,143.0,1.0,2,2006.0
75000.0,4.99,0.0,0.9551,312.0,1.0,2,2006.0
150000.0,4.99,0.0,0.9733,2098.0,1.0,2,2006.0
35000.0,0.0,0.0,0.8966,58.0,1.0,2,2006.0
75000.0,4.99,0.0,0.8512,336.0,1.0,2,2006.0
35000.0,4.99,0.0,0.9265,68.0,1.0,2,2006.0
75000.0,4.99,0.0,0.97,200.0,1.0,2,2006.0
75000.0,4.99,0.0,0.8678,363.0,1.0,2,2006.0
35000.0,4.99,0.0,0.9718,71.0,1.0,2,2006.0
750000.0,4.99,0.0,0.9731,9213.0,1.0,4,2007.0
350000.0,0.0,1.0,0.9452,2189.0,1.0,3,2007.0
10000.0,0.0,0.0,0.8571,21.0,1.0,2,2007.0
35000.0,4.99,0.0,0.8276,58.0,1.0,2,2007.0
35000.0,4.99,0.0,0.8052,77.0,1.0,2,2007.0
35000.0,4.99,0.0,0.8333,60.0,1.0,2,2008.0
10000.0,0.0,1.0,1.0,1.0,1.0,2,2008.0
35000.0,4.99,0.0,0.8333,90.0,1.0,2,2009.0
10000.0,0.0,1.0,1.0,1.0,1.0,2,2009.0
350000.0,4.99,0.0,0.9684,2341.0,1.0,4,2008.0
75000.0,4.99,0.0,0.8317,499.0,1.0,2,2008.0
10000.0,0.0,1.0,0.75,4.0,1.0,2,2008.0
35000.0,4.99,0.0,0.8409,44.0,1.0,2,2009.0
10000.0,0.0,1.0,1.0,1.0,1.0,2,2009.0
35000.0,4.99,0.0,0.8333,42.0,1.0,2,2009.0
10000.0,0.0,1.0,1.0,1.0,1.0,2,2009.0
3500000.0,4.99,0.0,0.9756,132608.0,1.0,5,2009.0
10000.0,0.0,1.0,0.9143,35.0,1.0,2,2009.0
75000.0,4.99,0.0,0.704,277.0,1.0,2,2009.0
10000.0,0.0,1.0,1.0,1.0,1.0,2,2009.0
35000.0,4.99,0.0,0.7963,54.0,1.0,2,2009.0
10000.0,0.0,1.0,0.0,2.0,1.0,2,2009.0
350000.0,4.99,0.0,0.9494,2449.0,1.0,4,2009.0
10000.0,0.0,1.0,1.0,1.0,1.0,2,2009.0
750000.0,7.99,0.0,0.7693,3594.0,1.0,3,2009.0
150000.0,7.99,0.0,0.8751,1089.0,1.0,4,2009.0
350000.0,9.99,0.0,0.9358,3458.0,1.0,2,2009.0
350000.0,4.99,0.0,0.876,2557.0,1.0,3,2010.0
75000.0,9.99,0.0,0.7769,511.0,1.0,3,2006.0
75000.0,0.0,0.0,0.7837,601.0,1.0,3,2006.0
75000.0,0.0,0.0,0.7205,440.0,1.0,3,2006.0
3500000.0,9.99,0.0,0.9516,17074.0,1.0,8,2006.0
10000.0,0.0,1.0,1.0,4.0,1.0,2,2006.0
1500000.0,19.99,0.0,0.9285,3187.0,1.0,4,2006.0
1500000.0,4.99,0.0,0.8954,6843.0,1.0,4,2006.0
350000.0,9.99,0.0,0.9454,6554.0,1.0,2,2005.0
35000.0,4.99,0.0,0.5325,154.0,1.0,3,2006.0
150000.0,9.99,0.0,0.7264,804.0,1.0,2,2007.0
350000.0,4.99,0.0,0.9109,449.0,1.0,2,2007.0
35000000.0,9.99,0.0,0.9674,1104711.0,1.0,19,2006.0
10000.0,9.99,0.0,0.4667,15.0,1.0,2,2006.0
10000.0,39.99,0.0,0.7358,193.0,1.0,3,2006.0
10000.0,0.0,1.0,0.875,8.0,5.0,3,2007.0
10000.0,3.99,0.0,0.5,12.0,1.0,3,2007.0
35000.0,9.99,0.0,0.7529,85.0,1.0,4,2006.0
10000.0,0.0,1.0,0.0,1.0,9.0,2,2006.0
35000.0,0.74,0.0,0.6,140.0,1.0,2,2007.0
10000.0,0.0,1.0,0.0,1.0,1.0,2,2007.0
35000.0,0.99,0.0,0.7762,210.0,1.0,2,2008.0
35000.0,0.74,0.0,0.7222,90.0,1.0,3,2008.0
1500000.0,19.99,0.0,0.9484,42660.0,1.0,7,2007.0
150000.0,9.99,0.0,0.7113,284.0,1.0,4,2007.0
75000.0,9.99,0.0,0.719,210.0,1.0,4,2007.0
3500000.0,36.99,0.0,0.9361,6828.0,1.0,6,2007.0
1500000.0,34.99,0.0,0.9503,10448.0,1.0,5,2007.0
1500000.0,0.0,0.0,0.966,8471.0,5.0,4,2007.0
1500000.0,24.99,0.0,0.9572,31797.0,1.0,4,2006.0
10000.0,0.0,1.0,0.875,16.0,1.0,2,2006.0
